src,dst
1963,1049
1049,1963
85,79
79,85
406,43
43,406
2044,38
38,2044
612,878
878,612
656,159
159,656
2028,38
38,2028
900,159
159,900
1960,924
924,1960
1055,183
183,1055
1903,38
38,1903
1289,142
142,1289
1345,30
30,1345
1891,38
38,1891
1435,224
224,1435
1524,41
41,1524
1726,183
183,1726
1731,183
183,1731
1773,211
211,1773
1781,28
28,1781
1899,212
212,1899
1930,16
16,1930
1953,399
399,1953
2079,183
183,2079
2844,155
155,2844
2865,183
183,2865
3130,408
408,3130
3519,38
38,3519
3604,977
977,3604
3616,794
794,3616
3624,115
115,3624
3640,43
43,3640
3642,986
986,3642
3766,858
858,3766
3805,810
810,3805
3922,183
183,3922
4656,224
224,4656
4970,148
148,4970
5753,265
265,5753
5776,810
810,5776
6225,145
145,6225
7342,36
36,7342
7786,252
252,7786
8356,29
29,8356
8818,29
29,8818
11746,148
148,11746
13386,38
38,13386
16556,30
30,16556
16666,148
148,16666
17151,41
41,17151
18383,30
30,18383
19689,222
222,19689
23436,145
145,23436
24861,30
30,24861
25409,214
214,25409
25475,230
230,25475
31487,36
36,31487
34217,145
145,34217
34404,30
30,34404
34600,17
17,34600
34647,258
258,34647
34713,40
40,34713
35178,817
817,35178
36947,155
155,36947
38022,30
30,38022
38511,33
33,38511
41876,142
142,41876
42053,794
794,42053
42087,884
884,42087
42308,212
212,42308
42780,148
148,42780
42807,142
142,42807
43301,30
30,43301
44059,414
414,44059
45798,17
17,45798
51103,739
739,51103
52662,38
38,52662
61102,1016
1016,61102
79857,43
43,79857
80985,1028
1028,80985
81137,213
213,81137
81338,38
38,81338
93338,43
43,93338
8684,884
884,8684
60,30
30,60
61,30
30,61
62,30
30,62
8673,1033
1033,8673
7903,1028
1028,7903
90,142
142,90
174,155
155,174
220,38
38,220
239,31
31,239
270,36
36,270
340,16
16,340
8646,148
148,8646
613,878
878,613
649,159
159,649
956,148
148,956
987,668
668,987
994,230
230,994
8621,38
38,8621
1085,213
213,1085
1297,30
30,1297
1353,668
668,1353
1355,668
668,1355
1479,142
142,1479
1486,414
414,1486
1489,96
96,1489
1490,17
17,1490
1492,29
29,1492
1520,232
232,1520
1858,881
881,1858
1861,869
869,1861
1865,833
833,1865
1867,865
865,1867
2090,183
183,2090
2841,739
739,2841
3630,252
252,3630
3718,1041
1041,3718
3889,1029
1029,3889
7880,142
142,7880
8678,155
155,8678
8686,148
148,8686
7436,159
159,7436
14893,183
183,14893
16520,884
884,16520
16635,30
30,16635
18094,30
30,18094
19660,218
218,19660
7039,183
183,7039
22517,142
142,22517
23430,711
711,23430
23556,30
30,23556
26600,17
17,26600
34227,16
16,34227
37104,800
800,37104
39178,754
754,39178
40816,1016
1016,40816
43595,962
962,43595
46325,948
948,46325
47034,33
33,47034
48320,17
17,48320
66485,668
668,66485
105060,36
36,105060
131818,262
262,131818
162615,29
29,162615
184184,1025
1025,184184
187812,28
28,187812
193445,43
43,193445
205586,142
142,205586
208889,142
142,208889
309164,801
801,309164
374365,851
851,374365
487704,30
30,487704
509568,34
34,509568
637555,766
766,637555
929667,30
30,929667
1018723,145
145,1018723
84,145
145,84
65,30
30,65
64,183
183,64
72,39
39,72
585,20
20,585
597,45
45,597
959,159
159,959
1156,668
668,1156
1218,801
801,1218
1461,928
928,1461
1491,750
750,1491
1508,928
928,1508
1515,1008
1008,1515
1533,717
717,1533
1663,224
224,1663
1707,183
183,1707
70,39
39,70
1741,40
40,1741
1844,347
347,1844
1854,881
881,1854
2634,38
38,2634
2807,29
29,2807
3561,262
262,3561
3820,822
822,3820
3881,953
953,3881
5465,258
258,5465
6509,219
219,6509
9899,55
55,9899
11751,17
17,11751
13437,38
38,13437
16572,148
148,16572
18125,145
145,18125
20103,38
38,20103
23564,236
236,23564
24639,16
16,24639
33935,801
801,33935
33986,298
298,33986
34820,786
786,34820
35765,17
17,35765
36647,27
27,36647
37100,664
664,37100
41621,801
801,41621
72134,38
38,72134
81788,79
79,81788
101625,1028
1028,101625
124739,96
96,124739
134762,801
801,134762
171639,801
801,171639
188673,218
218,188673
270482,38
38,270482
478258,38
38,478258
752460,96
96,752460
894327,34
34,894327
172,16
16,172
216,37
37,216
437,215
215,437
490,38
38,490
580,36
36,580
891,159
159,891
1335,77
77,1335
1563,241
241,1563
1729,183
183,1729
1761,27
27,1761
1764,189
189,1764
1770,191
191,1770
1780,214
214,1780
1792,36
36,1792
1799,36
36,1799
1829,159
159,1829
2100,183
183,2100
2280,184
184,2280
2656,38
38,2656
2868,419
419,2868
2887,298
298,2887
2933,733
733,2933
3703,912
912,3703
3856,229
229,3856
3897,916
916,3897
5818,29
29,5818
6259,38
38,6259
6346,30
30,6346
6576,159
159,6576
6602,142
142,6602
8652,30
30,8652
9361,813
813,9361
11725,148
148,11725
14314,29
29,14314
14773,148
148,14773
21197,217
217,21197
23800,233
233,23800
25410,35
35,25410
25444,45
45,25444
472,219
219,472
87,79
79,87
727,55
55,727
914,159
159,914
1022,183
183,1022
1362,843
843,1362
1476,142
142,1476
1530,796
796,1530
1794,183
183,1794
1850,424
424,1850
1874,212
212,1874
2900,736
736,2900
3551,1028
1028,3551
5092,30
30,5092
5468,258
258,5468
5826,148
148,5826
8660,843
843,8660
9248,227
227,9248
11194,225
225,11194
16555,30
30,16555
37320,30
30,37320
3935,1030
1030,3935
3992,31
31,3992
365,183
183,365
495,38
38,495
4093,145
145,4093
648,142
142,648
4024,183
183,4024
715,183
183,715
908,159
159,908
975,30
30,975
4686,224
224,4686
1012,215
215,1012
1017,183
183,1017
1021,215
215,1021
1296,31
31,1296
1309,55
55,1309
3958,183
183,3958
1895,159
159,1895
2145,16
16,2145
3138,183
183,3138
3940,1042
1042,3940
3798,183
183,3798
3844,971
971,3844
3919,963
963,3919
3921,954
954,3921
4178,183
183,4178
5420,224
224,5420
3939,183
183,3939
6625,142
142,6625
5112,408
408,5112
8692,29
29,8692
9311,38
38,9311
9799,55
55,9799
4051,183
183,4051
11739,843
843,11739
12052,183
183,12052
13298,40
40,13298
13318,38
38,13318
4133,183
183,4133
13396,38
38,13396
4045,878
878,4045
14317,29
29,14317
14960,213
213,14960
15760,159
159,15760
4044,183
183,4044
15976,183
183,15976
24879,183
183,24879
43421,30
30,43421
57906,148
148,57906
62868,36
36,62868
127623,33
33,127623
128466,142
142,128466
132830,1009
1009,132830
166997,142
142,166997
189823,148
148,189823
381560,954
954,381560
430776,801
801,430776
484018,35
35,484018
505529,183
183,505529
100,30
30,100
1519,878
878,1519
1449,38
38,1449
1555,774
774,1555
1754,34
34,1754
1863,228
228,1863
3110,792
792,3110
3306,804
804,3306
3861,846
846,3861
9022,96
96,9022
11736,148
148,11736
14440,298
298,14440
15682,29
29,15682
23482,142
142,23482
26563,35
35,26563
26590,96
96,26590
6397,142
142,6397
541,38
38,541
6231,38
38,6231
919,159
159,919
6252,38
38,6252
1310,55
55,1310
6157,33
33,6157
2235,159
159,2235
6221,38
38,6221
2704,38
38,2704
6088,38
38,6088
2746,159
159,2746
2973,183
183,2973
6046,38
38,6046
3104,183
183,3104
3617,224
224,3617
3711,403
403,3711
6226,145
145,6226
3852,183
183,3852
4126,183
183,4126
5168,159
159,5168
5489,142
142,5489
5687,219060
219060,5687
8385,213
213,8385
6122,38
38,6122
8848,142
142,8848
13142,38
38,13142
14325,29
29,14325
15174,148
148,15174
16069,183
183,16069
23148,145
145,23148
25331,35
35,25331
34116,16
16,34116
34692,766
766,34692
41185,142
142,41185
42716,142
142,42716
5968,38
38,5968
44244,414
414,44244
52535,414
414,52535
59300,38
38,59300
141881,16
16,141881
152385,801
801,152385
154888,213
213,154888
165090,142
142,165090
168648,28
28,168648
170247,148
148,170247
170322,148
148,170322
170996,218
218,170996
171223,28
28,171223
171357,28
28,171357
173474,219
219,173474
174091,148
148,174091
174665,218
218,174665
6285,38
38,6285
180139,213
213,180139
181946,142
142,181946
182625,16
16,182625
186254,219
219,186254
201723,148
148,201723
203645,142
142,203645
208669,155
155,208669
209034,96
96,209034
239078,142
142,239078
262684,183
183,262684
271000,1008
1008,271000
