src,dst
1425428,1792
1425428,8673
1425428,40898
1425428,23556
1425428,43684
1425428,503361
1425428,26793
1425428,72778
1425428,749
1425428,2765
1425428,1715
1425428,41621
1425428,42200
1425428,14169
1425428,130840
1425428,5468
1425428,33405
1425428,57278
8194,259272
483331,388224
483331,162411
622592,2144
622592,25409
622592,59169
622592,15335
622592,430780
622592,44848112
622592,411080
425996,157032
425996,28911
180233,4065
180233,2290
180233,2706
180233,174247
180233,167109
180233,110011
180233,192888
180233,21179
180233,1773
163852,2139799
163852,25804
917535,109949
49169,152462
491540,5475
491540,34820
491540,165204
491540,133116
851998,599416
49172,929022
311326,221968
311326,165972
311326,216820
49178,156858
49179,1646181
49179,152462
3366952,103661
1007634,42448
1007634,2112
1007634,499410
1007634,25416
311321,188022
925736,210987
49193,129610
385070,12292
49197,34820
639014,188022
589880,743218
254001,2304483
131127,133123
131127,36036
131127,165867
131127,649
131127,3497
131127,192265
131127,206895
131127,55630
131127,3758
131127,19278
131127,13298
131127,34550
131127,891
131127,1021
131127,3519
131127,3711
606268,180057
8247,35381
507967,219093
131128,253236
131128,581121
60,1218
60,188673
60,612
60,34820
60,585
60,3561
60,8684
60,3630
60,8686
60,33935
60,1489
60,1490
60,1491
60,84
60,85
60,1781
60,2807
60,34647
60,101625
60,894327
60,956
60,2844
60,51103
188478,210470
188478,170967
188478,6454
188478,158088
188478,157246
303160,25331
61,3761
61,188304
61,1524
61,1861
61,585
61,8684
61,2844
61,956
61,9022
62,33986
62,20103
62,72134
62,853258
62,72
62,2634
62,1355
62,1867
62,19660
62,1492
62,597
62,41621
62,270482
62,5465
62,90
62,3805
62,12829733
62,36647
62,3624
62,1515
62,1707
62,8684
62,6509
62,8686
62,1461
62,35765
62,478258
62,3130
62,1533
62,1854
62,959
62,17151
62,31487
24639,65
24639,612
24639,23436
24639,51103
64,65
64,34820
64,1156
64,3561
64,269
64,270
64,1486
64,1489
64,84
64,2844
64,956
64,1757
64,3935
65,64
65,124739
65,1156
65,1479
65,72134
65,752460
65,16520
65,1867
65,23564
65,18125
65,656
65,1489
65,36947
65,84
65,340
65,3616
65,1953
65,612
65,1508
65,11751
65,134762
65,3881
65,9899
65,3820
65,37100
65,3630
65,1524
65,1461
65,171639
65,16572
65,81788
65,4115712
65,1663
65,24639
991310,1350060
49218,647
49218,450625
49218,185125
49218,165867
49218,13680
49218,988413
49218,207350
49218,2999
49218,3703
49218,497341
49218,2235
49218,183551
49218,31487
49219,189138
950347,853708
950347,37836
950347,158095
196678,683512
70,1844
70,34820
70,1002490
70,34713
70,1899
70,1131258
70,1741
70,13437
71,612
71,43595
71,3805
450625,461287
450625,844908
450625,49218
450625,1892063
450625,61480
450625,191115
450625,158799
450625,71727
450625,236083
450625,502199
450625,387447
450625,12716720
450625,92212
450625,156724
450625,113718
450625,117563
450625,42780
450625,30974
72,62
753731,42780
49225,15174
49225,245023
49225,2061
49227,2467
49227,858713
49227,867573
49227,182059
81997,79808
81997,183405
49229,204266
49229,4301
16461,134635
696388,11959
671812,694109
78,83061
20119933,165204
49231,2141
49233,5776
49233,319729
49233,140631
49233,152567
49233,81033
49233,51103
753752,2044
753752,54108
753752,1001267
84,64
84,65
84,1156
84,34820
84,585
84,649
84,1353
84,1865
84,19660
84,23564
84,1486
84,1489
84,1490
84,1491
84,8660
84,406
84,727
84,34647
84,472
84,2841
84,987
84,1435
84,3616
84,9248
84,3561
84,466221
84,159273
84,3630
84,8686
84,1850
84,60
84,956
237655,385
237655,13362
237655,849934
237655,208038
237655,134712
237655,718038
794712,183394
85,1794
85,5826
85,42053
85,649
85,1289
85,1930
85,1486
85,1489
85,1492
85,406
85,374365
85,90
85,3805
85,7473516
85,3551
85,7903
85,8673
85,994
85,2280
85,3561
85,1963
85,16555
85,8684
85,3820
85,3766
85,1530
85,11194
85,60
85,956
85,1022
106583,167394
106583,456550
106583,58401
106583,48194
106583,185280
106583,25797
106583,126084
106583,3014
106583,4582
106583,184587
106583,33292
106583,82765
106583,37776
106583,918975
106583,73074
106583,171223
106583,321010
106583,499920
106583,986102
106583,207448
106583,181276
106583,258333
87,79808
87,175459
87,1476
87,5092
87,37320
87,66568
87,8686
87,199500
87,656
87,40816
87,1874
87,1780
87,180918
87,374365
87,5468
87,192926
87,28870916
87,220445
87,7903
87,17151
49239,152902
49239,81581
852058,149111
88,41185
88,487648
88,123709
88,199500
49240,934086
49240,2683
49240,748336
90,1489
90,612
90,85
90,158119
90,217156
90,101625
90,386991
90,8684
90,956
90,62
90,7903
49242,81033
49242,249996
49243,656189
49246,104720
100,1524
100,34820
100,41621
100,617
100,1867
100,2844
73831,16012
49255,44210
49255,173270
49255,171639
49255,62823
49255,13678
49256,48403
49256,173121
1712242,987383
237674,16010
204905,39971
49258,181557
2416719,1972013
49259,806551
1540219,9398
1540219,9000
49261,166002
49261,1035471
1359995,835423
82030,10863
49266,845307
49266,8969
49268,104725
49268,685941
1294439,472
811130,541032
811130,1474848
811130,990448
49272,140631
49273,189128
16506,83178
16506,26397
163966,182481
163966,192213
41087,128147
172157,3874
2277469,189157
213127,515409
213127,554126
213127,849156
213127,100394
213127,193965
1687708,152491
16520,65
16520,33986
16520,124739
16520,1156
16520,1861
16520,11462
16520,38283
16520,656
16520,1297
16520,340
16520,1492
16520,406
16520,7903
16520,169376
16520,612
16520,5540
16520,613
16520,8678
16520,26600
16520,588451
16520,37100
16520,8686
16520,203308
16520,1461
16520,181557
16520,1854
16520,959
16520,17151
3252409,8673
3252409,126898
303246,126148
2089107,935834
2089107,258981
2089107,181725
499861,690062
426130,167582
426130,202973
147607,147934
270482,62
82070,15760
82070,8851
82070,3572
82070,1119894
82070,3561
82070,6730
82070,605142
573599,1764
254107,82960
180379,103217
180379,236083
180379,189157
860304,132671
450726,167749
516262,15930
999598,275909
213154,81656
8356,13386
8356,2044
8356,1070
8356,9022
204966,275547
1474739,819387
16552,124739
16552,183303
16552,3306
16552,189128
16552,23436
16552,245023
16552,270
16553,1538
16553,173270
16553,140631
16553,200078
16553,3070
16553,9022
188587,81046
188587,110011
893092,990253
16554,152418
16554,23430
16554,3543
16554,1352
16554,5832
950436,501077
950436,1640282
950436,108037
950436,431779
950436,158821
950436,2938
950436,279823
950436,852272
950436,937793
950436,945473
16555,816845
16555,15174
16555,81033
16555,1867
16555,1519
16555,1489
16555,85
16555,43509
16555,36405
16555,3897
16555,16666
16555,170616
16555,2079
573603,326577
16556,189138
16556,30002
16556,612
16556,192807
16556,36312
16556,1867
16556,1903
172,1794
172,134762
172,6346
172,490
172,2634
172,9899
172,1899
172,11725
172,174
172,270
172,209779
172,9361
172,1297
172,1489
172,914
172,1362
172,54739
172,2900
172,406
172,3766
172,216
172,1854
16557,11736
16557,81033
16557,16666
16557,1867
16557,214173
16557,174684
1106109,105060
174,81033
174,200459
174,33935
174,1297
174,1563
174,44059
174,42780
174,35997
174,1055
174,2079
174,433574
174,1953
174,386991
174,159273
174,172
174,2868
174,14773
174,35765
174,2201876
174,3766
174,1335
174,3897
174,5818
174,956
174,425410
174,2887
174,360268
174,468557
174,8652
174,19660
174,181966
174,44237
174,1486
174,1489
174,1490
174,1491
174,1492
174,597
174,206933
174,3805
174,100188
174,25444
174,45412
174,490
174,14314
174,1515
174,8684
174,8686
174,54898
174,1781
174,2933
174,3703
174,816115
16558,3904
16558,13360
16558,3138
16558,81033
16558,209034
16559,2096
16559,2868
16559,3909
16559,6487
16559,38380
16559,245023
196786,742854
16562,61302
16562,139242
16562,386991
16562,12303
917693,158119
16563,847677
16565,182059
16565,471886
16567,3761
16567,1731
16567,140631
16567,147402
16567,1449
16567,152491
16567,182059
16567,1070
819387,255025
819387,104773
819387,393426
819387,1474739
606385,1223508
16568,518431
16568,125434
16572,2256
16572,65
16572,580
16572,612
16572,1861
16572,216
16572,3130
16572,1354
16572,5468
16572,37100
16572,1854
16572,3519
213183,326577
8385,6225
8385,25409
8385,1731
8385,487439
8385,588
8385,102397
221377,92212
483522,3936
483522,184998
483522,2790
483522,193929
934086,49240
508108,207753
958685,945473
278743,104712
139473,147402
393426,819387
155863,13666
155863,912952
155863,47048
155863,180139
1679567,56869
1679567,1130264
1679567,145835
1679567,511949
1679567,983861
1679567,178382
1679567,186142
1679567,7021
499920,106583
216,1792
216,48256
216,133123
216,1799
216,649
216,23436
216,43788
216,506250
216,270
216,656
216,3856
216,1297
216,406
216,34713
216,1829
216,35493
216,172
216,6576
216,2100
216,437
216,16572
216,1085
216,33342
216,43070
216,1729
216,25410
216,580
216,36036
216,585
216,6602
216,1867
216,21197
216,2656
216,58976
216,1761
216,994
216,1764
216,2280
216,19689
216,1770
216,1899
216,1773
216,239
216,1520
216,6259
216,1780
216,1781
216,23800
216,891
216,31487
216,186237
131290,79857
131290,9365
131290,127063
131290,5753
131290,182521
131290,172415
491743,193367
220,34647
220,484799
220,8684
220,2844
220,956
655572,168162
41183,140147
41183,456
41183,93338
844012,193920
41185,6225
41185,72259
41185,5475
41185,2999
41185,88
1343733,134291
226,92161
226,25410
226,1764
226,4197
226,493826
226,127623
226,170532
226,888971
226,585
226,506250
226,10704
226,1748
226,26837
226,492575
226,1757
226,44254
639212,328975
1736959,682544
131301,48338
131301,182025
235,35178
239,8673
239,437
239,216
239,19689
239,2844
239,956
240,437
240,3561
240,19689
647417,1296
835838,16048
835838,616895
835838,725122
835838,997029
835838,329609
835838,844784
835838,276859
319729,49233
311539,5968
516336,93338
516336,38380
516336,829842
213242,2718745
213242,219583
24826,1761
24826,34370
24826,1874
24826,8678
24826,52535
24826,6506
24826,365
24826,9022
24826,8686
16635,1867
16635,8684
41211,1489
41211,171632
360702,683525
508153,1719466
508153,160450
508153,192898
508153,211970
